,imdb_id,imdb_n_comment,imdb_score,name,rating_people,score,上映日期,主演,制片国家/地区,又名,导演,片长,类型,编剧,语言,主演人数,r5,r4,r3,r2,r1
980, tt4415434,0,-1,卒迹,857,7, 2014-01-03, 范雷 / 卢映 / 董娉, 中国大陆, Er Zu, 鲁坚, 100分钟, 剧情, 杨海波, 汉语普通话,3,0.117,0.393,0.404,0.057,0.029
981, tt2644714,2106,4.6,不二神探,88211,4.6, 2013-06-21(中国大陆), 文章 / 李连杰 / 刘诗诗 / 陈妍希 / 柳岩 / 马伊琍 / 黄晓明 / 佟大为 / 冯德伦 / 吴京 / 邹兆龙 / 郑嘉颖 / 梁小龙 / 谢天华 / 张梓琳 / 邓丽欣 / 田亮 / 方力申 / 梁家仁 / 林雪 / 何超仪 / 林峰, 中国大陆, Badges of Fury, 王子鸣, 98分钟, 喜剧 / 动作 / 犯罪, 张炭, 汉语普通话 / 粤语 / 英语,22,0.027,0.073,0.325,0.348,0.227
982, tt3421854,10,7,亲·爱,3291,7, 2013-05-10(中国大陆), 余男 / 于谦 / 乌吉穆 / 邵何之杰 / 徐玉兰 / 高鑫, 中国大陆, 亲爱 / Beloved, 李欣蔓, 98分钟, 剧情 / 家庭, 李欣蔓, 汉语普通话,6,0.124,0.39,0.372,0.092,0.022
983, tt3467440,90,5.8,等风来,84967,5.6, 2013-12-31(中国大陆) / 2014-03-13(香港), 倪妮 / 井柏然 / 刘雅瑟 / 张子萱 / 刘孜 / 陈卫 / 格桑 / 杨凯淳 / 侯传杲 / 何佳怡, 中国大陆, 幸福旅行团 / Up in the wind, 滕华涛, 107分钟, 喜剧 / 爱情, 鲍鲸鲸, 汉语普通话,10,0.049,0.159,0.435,0.266,0.092
984, tt2351385,,,甜心巧克力,4114,5.1, 2013-11-08(中国大陆) / 2012-10-25(东京国际电影节) / 2016-03-26(日本), 林志玲 / 池内博之 / 福地佑介 / 陈廷嘉 / 郭念秋 / 姚亦辰 / 唐群 / 李铭顺 / 林江国 / 山本圭, 中国大陆 / 日本, スイートハート?チョコレート / Sweetheart Chocolate, 筱原哲雄, 98分钟, 爱情, 米子 / 汤迪, 日语 / 汉语普通话,10,0.032,0.093,0.423,0.307,0.144
985, tt3064998,26,6.2,警察日记,1331,6.4, 2014-03-21(中国大陆) / 2013-10-19(东京电影节), 王景春 / 陈维涵 / 孙亮 / 侯岩松 / 袁利坚 / 白波, 中国大陆, Police Diary / To Live and Die in Ordos, 宁瀛, 110分钟(中国大陆) / 113分钟(东京电影节), 剧情 / 悬疑 / 惊悚 / 犯罪, 宁岱, 汉语普通话,6,0.103,0.249,0.457,0.139,0.053
986,,,,我爱的是你爱我,13553,5.4, 2013-11-08(中国大陆), 张涵予 / 王珞丹 / 朱丹 / 王柏杰 / 李呈媛 / 张浩天 / 孙兴 / 李威 / 陈欣健 / 王浩燃, 中国大陆, Love You for Loving Me, 马志宇, 97分钟, 剧情 / 爱情, 马志宇, 汉语普通话,10,0.049,0.146,0.397,0.269,0.14
987, tt2599716,6042,6.1,警察故事2013,65101,5.7, 2013-12-24(中国大陆), 成龙 / 刘烨 / 景甜 / 殷桃 / 那威 / 刘仪伟 / 柳海龙 / 周晓鸥 / 于荣光 / 吴樾 / 刘佩琦 / 娜扎, 中国大陆 / 香港, Police Story 2013, 丁晟, 108分钟, 剧情 / 动作 / 犯罪, 丁晟, 汉语普通话,12,0.05,0.161,0.469,0.233,0.086
988, tt3209682,49,6.6,意外的恋爱时光,19054,5.7, 2013-11-08(中国大陆), 房祖名 / 郭采洁 / 于莎莎 / 陆弈静 Yi-Ching Lu / 高圣远 Archie Kao / 康恩赫 Enhe Kang / 钱入富 Rufu Qian, 中国大陆, Love Speaks, 黎志, 93分钟, 喜剧 / 爱情, 蔚杰 / 管娜 / 查暮春, 汉语普通话 / 英语,7,0.04,0.143,0.504,0.249,0.065
989,,,,房间里的舞蹈,250,6.4, 2013-12-22(中国大陆), 江雨晨 / 李京 / 张楠 / 健崔 / 梁晓菲 / 朱筱毅 / 赵怡文 / 吴庆晨 / 张西蒙 / 王戈 / 李文泰 / 张妍 / 彭鹏 / 石婧 / 松子, 中国大陆, Dancing in the Room, 彭磊, 90分钟, 剧情 / 爱情, 彭磊, 汉语普通话,15,0.13,0.215,0.446,0.119,0.09
990, tt3293724,36,4.8,摩登年代,20950,5.3, 2013-08-23(中国大陆), 徐峥 / 张子枫 / 王宣予 / 张颂文 / 王太利 / 肖央 / 岳小军 / 杜家毅, 中国大陆, 魔力一点点 / 欧了大卫 / 魔力万丈 / Fake Fiction, 邵晓黎, 96分钟, 剧情 / 喜剧, 杜鹏 / 宁岱 / 邵晓黎 / 高巍, 汉语普通话,8,0.031,0.094,0.46,0.32,0.095
991, tt2664074,57,6.5,春梦 春夢,67,7.1, 2013-01-25（鹿特丹电影节）, 赵思源 / 傅迦 / 唐治平 / 薛红, 香港, Longing for the Rain, 杨荔钠, 98分钟 / 104分钟, 剧情, 杨荔钠, 汉语普通话,4,0.183,0.35,0.333,0.1,0.033
992, tt2550112,190,6.4,控制,18494,5.8, 2013-11-22(中国大陆), 吴彦祖 / 姚晨 / 任达华 / 戴立忍 / 安以轩 / 邵兵 / 惠英红 / 冯嘉怡 / 郝柏杰 / 王馨平 / 孙佳君, 香港 / 中国大陆, 控城计 / 空城计 / Control, 毕国智, 92分钟, 动作 / 科幻 / 悬疑 / 犯罪, 毕国智, 汉语普通话 / 粤语,11,0.042,0.164,0.496,0.234,0.064
993, tt2992146,2936,6.5,狄仁杰之神都龙王,117010,6.6, 2013-09-28(中国大陆), 赵又廷 / 冯绍峰 / 林更新 / 金汎 / 杨颖 / 刘嘉玲 / 胡东 / 马京京 / 盛鉴 / 林朝绪 / 陈坤 / 言杰 / 汪汐潮, 中国大陆 / 香港,, 徐克, 133分钟, 动作 / 悬疑 / 犯罪 / 古装, 张家鲁 / 徐克 / 陈国富, 汉语普通话,13,0.073,0.311,0.473,0.116,0.027
995,,,,聚焦,85,8.7,, 焦雄屏 / 张艺谋, 中国大陆,,,, 脱口秀,, 汉语普通话,2,0.469,0.422,0.109,0,0
996, tt2118775,2930,5.5,特殊身份,53023,3.9, 2013-10-18(中国大陆), 甄子丹 / 景甜 / 安志杰 / 张涵予 / 郑中基 / 邹兆龙 / 鲍起静 / 卢惠光 / 吴志雄 / 杨志刚 / 何华超 / 尹子维, 中国大陆, 终极解码 / Special Identity, 霍耀良, 99分钟, 动作 / 犯罪, 司徒锦源, 汉语普通话 / 粤语,12,0.025,0.037,0.197,0.321,0.42
997, tt2102502,341,5.1,非常幸运,43715,4.5, 2013-09-17(中国大陆), 章子怡 / 王力宏 / 林心如 / 姚晨 / 蔡少芬 / 郑恺 / 关颖 / 高捷 / 邢思杰 / 张晋 / 刘桦 / 戎祥, 中国大陆 / 香港, 非常完美2 / My Lucky Star, 丹尼·高顿, 105分钟 / 109分钟(完整版), 喜剧 / 爱情, 艾米·斯诺 / 孟瑶 / 黄旭海 / 周隼, 汉语普通话 / 英语,12,0.031,0.054,0.306,0.368,0.242
998,,,,绝世高手,16750,7.9, 2013-03-28(中国大陆), 卢正雨 / 曹仁伟 / 姚思羽 / 鲁文杰 / 张超, 中国大陆, 嘻哈三部曲之绝世高手 / The One, 卢正雨, 26分钟, 喜剧 / 动作 / 短片 / 武侠 / 古装, 卢正雨 / 果晓丹, 汉语普通话,5,0.272,0.461,0.215,0.036,0.017
999,,,,倾城,1962,6.2, 2013-05-10(中国大陆), 黄觉 / 林心如 / 丁勇岱 / 孙敏, 中国大陆, Fall of a City / Fallen City, 黄宏, 94分钟, 剧情 / 犯罪 / 灾难, 黄宏 / 王金明, 汉语普通话,4,0.069,0.224,0.517,0.138,0.053
1000, tt3013126,279,5.6,一夜惊喜,82642,5.6, 2013-08-09(中国大陆), 范冰冰 / 李治廷 / 吴佩慈 / 蒋劲夫 / 丹尼尔·海尼 / 刘维 / 倪虹洁 / 黎明 / 徐峥 / 黄一飞 / 钟丽缇, 中国大陆 / 香港, One Night Surprise, 金依萌, 106分钟, 喜剧 / 爱情, 金依萌, 汉语普通话 / 英语,11,0.033,0.136,0.502,0.251,0.078
1001,,,,4B青年之4楼B座,4591,4.3, 2013-09-10(中国大陆), 付辛博 / 彭宇 / 蒲巴甲 / 夏梓桐 / 刘心悠 / 田子田 / 郑浩南 / 傅颖 / 陈雅丽 / 董立范, 中国大陆, 4楼B座 / 四楼B座, 孙达, 92分钟, 喜剧 / 爱情, 玫子, 汉语普通话,10,0.027,0.064,0.262,0.338,0.309
1002, tt3104228,,,杀戒,7699,5.1, 2013-06-09(中国大陆), 刘烨 / 倪妮 / 王迅 / 张逗逗 / 孙桂田 / 黄柏钧, 中国大陆, Redemption, 竹卿, 104分钟, 爱情 / 悬疑, 刘恒 / 竹卿 / 俞胜利, 汉语普通话,6,0.034,0.111,0.388,0.327,0.141
