source,target,weight
杭州,沈阳,0.0009923096005953857
苏州,沈阳,0.00012403870007442322
拉萨,沈阳,0.00012403870007442322
南京,沈阳,0.00012403870007442322
福州,沈阳,0.00012403870007442322
重庆,沈阳,0.00012403870007442322
石家庄,沈阳,0.0016125031009675019
珠海,沈阳,0.0006201935003721161
青岛,沈阳,0.00012403870007442322
大连,沈阳,0.024931778714959066
哈尔滨,沈阳,0.00024807740014884643
泉州,沈阳,0.0
海口,沈阳,0.00037211610022326965
长春,沈阳,0.0009923096005953857
泰州,沈阳,0.00024807740014884643
漳州,沈阳,0.0
抚顺,沈阳,0.0021086579012651947
秦皇岛,沈阳,0.0009923096005953857
锦州,沈阳,0.00012403870007442322
铁岭,沈阳,0.00024807740014884643
辽阳,沈阳,0.0004961548002976929
鞍山,沈阳,0.00012403870007442322
葫芦岛,沈阳,0.00012403870007442322
北京,长沙,0.102580004961548
上海,长沙,0.04775489952865294
深圳,长沙,0.07293475564376085
广州,长沙,0.013024063507814439
天津,长沙,0.0009923096005953857
杭州,长沙,0.006325973703795584
宁波,长沙,0.0016125031009675019
拉萨,长沙,0.0017365418010419251
南京,长沙,0.0009923096005953857
东莞,长沙,0.0007442322004465393
成都,长沙,0.0014884644008930786
福州,长沙,0.0006201935003721161
无锡,长沙,0.0
重庆,长沙,0.0004961548002976929
武汉,长沙,0.00731828330439097
石家庄,长沙,0.00012403870007442322
珠海,长沙,0.0027288514016373107
青岛,长沙,0.00012403870007442322
大连,长沙,0.00012403870007442322
南昌,长沙,0.00012403870007442322
新余,长沙,0.00012403870007442322
金华,长沙,0.0
中山,长沙,0.00024807740014884643
宜春,长沙,0.00024807740014884643
湘潭,长沙,0.0035971223021582736
益阳,长沙,0.0018605805011163482
娄底,长沙,0.0014884644008930786
株洲,长沙,0.0014884644008930786
岳阳,长沙,0.0013644257008186553
常德,长沙,0.0012403870007442323
衡阳,长沙,0.0009923096005953857
怀化,长沙,0.0004961548002976929
邵阳,长沙,0.00012403870007442322
北京,廊坊,0.09464152815678492
