投资方所在城市,融资方所在城市,投资企业对数,lng_tz,lat_tz,lng_rz,lat_rz
鄂尔多斯,宁波,15,108.618593771,39.4092533576,121.462283516,29.7195882339
西宁,宁波,5,101.451113542,36.8142937624,121.462283516,29.7195882339
徐州,宁波,5,117.480705662,34.2587766939,121.462283516,29.7195882339
株洲,宁波,6,113.519552948,27.1163929922,121.462283516,29.7195882339
菏泽,宁波,4,115.689680141,35.1533992642,121.462283516,29.7195882339
临汾,宁波,4,111.374331297,36.2353877293,121.462283516,29.7195882339
北京,成都,2266,116.409349256,40.1841180253,103.501067544,30.5086877776
上海,成都,1094,121.404084553,31.0844617511,103.501067544,30.5086877776
深圳,成都,1003,113.981097454,22.6612174267,103.501067544,30.5086877776
广州,成都,179,113.535309762,23.3572458759,103.501067544,30.5086877776
天津,成都,64,117.332394543,39.3085542563,103.501067544,30.5086877776
杭州,成都,146,119.484701009,29.9049798065,103.501067544,30.5086877776
苏州,成都,52,120.64180324,31.3759706021,103.501067544,30.5086877776
宁波,成都,52,121.462283516,29.7195882339,103.501067544,30.5086877776
拉萨,成都,174,91.1028799309,30.0334521208,103.501067544,30.5086877776
南京,成都,52,118.842463658,31.9287592963,103.501067544,30.5086877776
东莞,成都,8,113.877717876,22.9852478082,103.501067544,30.5086877776
无锡,成都,16,120.351629529,31.6615440474,103.501067544,30.5086877776
重庆,成都,343,107.864385258,30.0553736852,103.501067544,30.5086877776
嘉兴,成都,36,120.753919978,30.654868568,103.501067544,30.5086877776
厦门,成都,13,118.110687591,24.6830448658,103.501067544,30.5086877776
武汉,成都,47,114.338092289,30.6256542221,103.501067544,30.5086877776
郑州,成都,6,113.471850802,34.6263627848,103.501067544,30.5086877776
珠海,成都,19,113.251442783,22.1619886251,103.501067544,30.5086877776
济南,成都,5,117.08325858,36.7325316169,103.501067544,30.5086877776
青岛,成都,14,120.143935648,36.456032729,103.501067544,30.5086877776
西安,成都,37,108.789503511,34.1107819802,103.501067544,30.5086877776
长沙,成都,12,113.152959363,28.2295131059,103.501067544,30.5086877776
合肥,成都,4,117.286266302,31.9771580754,103.501067544,30.5086877776
常州,成都,11,119.679057019,31.6925543935,103.501067544,30.5086877776
乌鲁木齐,成都,7,87.8094631006,43.5313046469,103.501067544,30.5086877776
哈尔滨,成都,4,127.962992428,45.6369913133,103.501067544,30.5086877776
新余,成都,16,114.851202951,27.8472307759,103.501067544,30.5086877776
